Year;Parameter;Unit;AVERAGE;MAX;MIN;STDEV;MEDIAN
2018;Aluminium dissolved;µg/l;50000,00;100000,00;100000,00;;10,00
2019;Aluminium dissolved;µg/l;360000,00;360000,00;360000,00;;36,00
2020;Aluminium dissolved;µg/l;50000,00;100000,00;100000,00;;10,00
2013;Aluminium dissolved;μg/l;50000,00;100000,00;100000,00;;10,00
2014;Aluminium dissolved;μg/l;110000,00;110000,00;110000,00;;11,00
2018;Ammonium;mg/l;0,02;0.0220;0.0090;0.0092;0,02
2019;Ammonium;mg/l;0,02;0.0290;0.0000;0.0205;0,01
2020;Ammonium;mg/l;0,01;0.0000;0.0000;0.0000;0,00
2013;Ammonium;mg/l;0,02;0.0200;0.0200;0.0000;0,02
2014;Ammonium;mg/l;0,02;0.0200;0.0200;0.0000;0,02
2015;Ammonium;mg/l;0,02;0.0200;0.0200;;0,02
2018;Arsenic dissolved;µg/l;25000,00;50000,00;50000,00;;5,00
2019;Arsenic dissolved;µg/l;25000,00;50000,00;50000,00;;5,00
2020;Arsenic dissolved;µg/l;25000,00;50000,00;50000,00;;5,00
2013;Arsenic dissolved;μg/l;25000,00;50000,00;50000,00;;5,00
2014;Arsenic dissolved;μg/l;25000,00;50000,00;50000,00;;5,00
2018;Cadmium dissolved;µg/l;2500,00;0.5000;0.5000;;0,50
2019;Cadmium dissolved;µg/l;0,25;0.5000;0.5000;;0,50
2020;Cadmium dissolved;µg/l;0,25;0.5000;0.5000;;0,50
2013;Cadmium dissolved;μg/l;0,25;0.5000;0.5000;;0,50
2014;Cadmium dissolved;μg/l;0,25;0.5000;0.5000;;0,50
2018;Calcium;mg/l;644500,00;707000,00;582000,00;88388,00;64,45
2019;Calcium;mg/l;726000,00;882000,00;570000,00;220617,00;72,60
2020;Calcium;mg/l;733000,00;772000,00;697000,00;37590,00;73,00
2018;Carbonates;mg/l;15000,00;0.0000;0.0000;0.0000;0,00
2019;Carbonates;mg/l;15000,00;0.0000;0.0000;0.0000;0,00
2020;Carbonates;mg/l;15000,00;18000,00;0.0000;10392,00;0,00
2018;Chloride;mg/l;2960000,00;3240000,00;2680000,00;395980,00;296,00
2019;Chloride;mg/l;1392000,00;2020000,00;764000,00;888126,00;139,20
2020;Chloride;mg/l;1213667,00;1420000,00;1100000,00;178998,00;112,10
2013;Chloride;mg/l;1676500,00;1740000,00;1613000,00;89803,00;167,65
2014;Chloride;mg/l;2845000,00;3550000,00;2140000,00;997021,00;284,50
2015;Chloride;mg/l;1170000,00;1170000,00;1170000,00;;117,00
2018;Chromium 6+;µg/l;50000,00;100000,00;100000,00;;10,00
2019;Chromium 6+;µg/l;50000,00;100000,00;100000,00;;10,00
2020;Chromium 6+;µg/l;50000,00;50000,00;50000,00;;5,00
2013;Chromium 6+;μg/l;50000,00;100000,00;100000,00;;10,00
2014;Chromium 6+;μg/l;50000,00;100000,00;100000,00;;10,00
2018;Chromium dissolved;µg/l;25000,00;50000,00;50000,00;;5,00
2019;Chromium dissolved;µg/l;25000,00;50000,00;50000,00;;5,00
2013;Chromium dissolved;μg/l;25000,00;50000,00;50000,00;;5,00
2014;Chromium dissolved;μg/l;25000,00;50000,00;50000,00;;5,00
2018;Copper dissolved;µg/l;80000,00;80000,00;80000,00;;8,00
2019;Copper dissolved;µg/l;25000,00;50000,00;50000,00;;5,00
2020;Copper dissolved;µg/l;25000,00;50000,00;50000,00;;5,00
2013;Copper dissolved;μg/l;100000,00;100000,00;100000,00;;10,00
2014;Copper dissolved;μg/l;25000,00;50000,00;50000,00;;5,00
2018;Dissolved Oxygen;mg/l;86500,00;94000,00;79000,00;10607,00;8,65
2019;Dissolved Oxygen;mg/l;72000,00;72000,00;72000,00;;7,20
2020;Dissolved Oxygen;mg/l;56500,00;62000,00;51000,00;0.7778;5,65
2013;Dissolved Oxygen;mg/l;69000,00;76000,00;62000,00;0.9899;6,90
2014;Dissolved Oxygen;mg/l;69000,00;72000,00;66000,00;0.4243;6,90
2015;Dissolved Oxygen;mg/l;76000,00;76000,00;76000,00;;7,60
2018;Electrical conductivity;μS/cm;13355000,00;14580000,00;12130000,00;1732412,00;1335,50
2019;Electrical conductivity;μS/cm;7820000,00;7820000,00;7820000,00;;782,00
2020;Electrical conductivity;μS/cm;8946667,00;9640000,00;8510000,00;607152,00;869,00
2013;Electrical conductivity;μS/cm;9815000,00;10590000,00;9040000,00;1096016,00;981,50
2014;Electrical conductivity;μS/cm;11895000,00;12290000,00;11500000,00;558614,00;1189,50
2015;Electrical conductivity;μS/cm;5650000,00;5650000,00;5650000,00;;565,00
2018;Hydrogen carbonate (Bicarbonate) HCO3;mg/l;1595000,00;1770000,00;1420000,00;247487,00;159,50
2019;Hydrogen carbonate (Bicarbonate) HCO3;mg/l;2680000,00;2680000,00;2680000,00;0.0000;268,00
2020;Hydrogen carbonate (Bicarbonate) HCO3;mg/l;2540000,00;2780000,00;2280000,00;250599,00;256,00
2018;Iron dissolved;µg/l;50000,00;100000,00;100000,00;;10,00
2019;Iron dissolved;µg/l;240000,00;240000,00;240000,00;;24,00
2020;Iron dissolved;µg/l;200000,00;200000,00;200000,00;;20,00
2013;Iron dissolved;μg/l;120000,00;120000,00;120000,00;;12,00
2014;Iron dissolved;μg/l;940000,00;940000,00;940000,00;;94,00
2018;Lead dissolved;µg/l;25000,00;50000,00;50000,00;;5,00
2019;Lead dissolved;µg/l;25000,00;50000,00;50000,00;;5,00
2020;Lead dissolved;µg/l;25000,00;50000,00;50000,00;;5,00
2013;Lead dissolved;μg/l;25000,00;50000,00;50000,00;;5,00
2014;Lead dissolved;μg/l;25000,00;50000,00;50000,00;;5,00
2018;Magnesium;mg/l;308500,00;348000,00;269000,00;55861,00;30,85
2019;Magnesium;mg/l;317500,00;326000,00;309000,00;12021,00;31,75
2020;Magnesium;mg/l;288333,00;305000,00;279000,00;14468,00;28,10
2018;Manganese dissolved;µg/l;25000,00;50000,00;50000,00;;5,00
2019;Manganese dissolved;µg/l;200000,00;200000,00;200000,00;;20,00
2020;Manganese dissolved;µg/l;25000,00;50000,00;50000,00;;5,00
2013;Manganese dissolved;μg/l;25000,00;50000,00;50000,00;;5,00
2014;Manganese dissolved;μg/l;25000,00;50000,00;50000,00;;5,00
2018;Mercury dissolved;µg/l;0,25;0.5000;0.5000;;0,50
2019;Mercury dissolved;µg/l;0,25;0.5000;0.5000;;0,50
2020;Mercury dissolved;µg/l;0,25;0.5000;0.5000;;0,50
2013;Mercury dissolved;μg/l;0,25;0.5000;0.5000;;0,50
2014;Mercury dissolved;μg/l;0,25;0.5000;0.5000;;0,50
2018;Nickel dissolved;µg/l;25000,00;50000,00;50000,00;;5,00
