"Indicator","location","M","F","age","value"
"% of people with long-term disease","Nordre Aker","True","False","n.d.","40"
"% of people with long-term disease","Nordre Aker","False","True","n.d.","43"
"% of people with long-term disease","Nordre Aker","True","True","n.d.","42"
"% of people with long-term disease","Nordre Aker","True","True","18-29","40"
"% of people with long-term disease","Nordre Aker","True","True","30-39","32"
"% of people with long-term disease","Nordre Aker","True","True","40-49","42"
"% of people with long-term disease","Nordre Aker","True","True","50-59","43"
"% of people with long-term disease","Nordre Aker","True","True","60-69","48"
"% of people with long-term disease","Nordre Aker","True","True",">=70","58"
"% of people without  long-term disease","Nordre Aker","True","False","n.d.","60"
"% of people without  long-term disease","Nordre Aker","False","True","n.d.","57"
"% of people without  long-term disease","Nordre Aker","True","True","n.d.","58"
"% of people without  long-term disease","Nordre Aker","True","True","18-29","60"
"% of people without  long-term disease","Nordre Aker","True","True","30-39","68"
"% of people without  long-term disease","Nordre Aker","True","True","40-49","58"
"% of people without  long-term disease","Nordre Aker","True","True","50-59","57"
"% of people without  long-term disease","Nordre Aker","True","True","60-69","52"
"% of people without  long-term disease","Nordre Aker","True","True",">=70","42"
"% of people with BMI <18,5","Nordre Aker","True","False","n.d.","1"
"% of people with BMI <18,5","Nordre Aker","False","True","n.d.","3"
"% of people with BMI <18,5","Nordre Aker","True","True","n.d.","2"
"% of people with BMI <18,5","Nordre Aker","True","True","18-29","6"
"% of people with BMI <18,5","Nordre Aker","True","True","30-39","4"
"% of people with BMI <18,5","Nordre Aker","True","True","40-49","2"
"% of people with BMI <18,5","Nordre Aker","True","True","50-59","1"
"% of people with BMI <18,5","Nordre Aker","True","True","60-69","2"
"% of people with BMI <18,5","Nordre Aker","True","True",">=70","5"
"% of people with BMI 18,5-24,9","Nordre Aker","True","False","n.d.","50"
"% of people with BMI 18,5-24,9","Nordre Aker","False","True","n.d.","64"
"% of people with BMI 18,5-24,9","Nordre Aker","True","True","n.d.","57"
"% of people with BMI 18,5-24,9","Nordre Aker","True","True","18-29","70"
"% of people with BMI 18,5-24,9","Nordre Aker","True","True","30-39","67"
"% of people with BMI 18,5-24,9","Nordre Aker","True","True","40-49","69"
"% of people with BMI 18,5-24,9","Nordre Aker","True","True","50-59","61"
"% of people with BMI 18,5-24,9","Nordre Aker","True","True","60-69","63"
"% of people with BMI 18,5-24,9","Nordre Aker","True","True",">=70","56"
"% of people with BMI 25-29,9","Nordre Aker","True","False","n.d.","38"
"% of people with BMI 25-29,9","Nordre Aker","False","True","n.d.","25"
"% of people with BMI 25-29,9","Nordre Aker","True","True","n.d.","31"
"% of people with BMI 25-29,9","Nordre Aker","True","True","18-29","21"
"% of people with BMI 25-29,9","Nordre Aker","True","True","30-39","21"
"% of people with BMI 25-29,9","Nordre Aker","True","True","40-49","22"
"% of people with BMI 25-29,9","Nordre Aker","True","True","50-59","28"
"% of people with BMI 25-29,9","Nordre Aker","True","True","60-69","25"
"% of people with BMI 25-29,9","Nordre Aker","True","True",">=70","31"
"% of people with BMI =>30","Nordre Aker","True","False","n.d.","12"
"% of people with BMI =>30","Nordre Aker","False","True","n.d.","8"
"% of people with BMI =>30","Nordre Aker","True","True","n.d.","10"
"% of people with BMI =>30","Nordre Aker","True","True","18-29","3"
"% of people with BMI =>30","Nordre Aker","True","True","30-39","7"
"% of people with BMI =>30","Nordre Aker","True","True","40-49","7"
"% of people with BMI =>30","Nordre Aker","True","True","50-59","10"
"% of people with BMI =>30","Nordre Aker","True","True","60-69","9"
"% of people with BMI =>30","Nordre Aker","True","True",">=70","8"
"% of people that have or have had Diabetes, COPD or Cardiovascular disease","Nordre Aker","True","False","n.d.","14"
"% of people that have or have had Diabetes, COPD or Cardiovascular disease","Nordre Aker","False","True","n.d.","8"
"% of people that have or have had Diabetes, COPD or Cardiovascular disease","Nordre Aker","True","True","n.d.","11"
"% of people that have or have had Diabetes, COPD or Cardiovascular disease","Nordre Aker","True","True","18-29","3"
"% of people that have or have had Diabetes, COPD or Cardiovascular disease","Nordre Aker","True","True","30-39","2"
"% of people that have or have had Diabetes, COPD or Cardiovascular disease","Nordre Aker","True","True","40-49","2"
"% of people that have or have had Diabetes, COPD or Cardiovascular disease","Nordre Aker","True","True","50-59","7"
